# y+ ()       
# Time        	patch         	min           	max           	average       
69            	topWall	5.144545e-01	1.564944e+00	6.430841e-01
69.1          	bottomWall	5.147558e-01	1.425772e+00	6.435869e-01
69.1          	topWall	5.141364e-01	1.504775e+00	6.433650e-01
69.2          	bottomWall	5.182246e-01	1.577969e+00	6.433009e-01
69.2          	topWall	5.178751e-01	1.506149e+00	6.433170e-01
69.3          	bottomWall	5.207871e-01	1.543352e+00	6.433309e-01
69.3          	topWall	5.167672e-01	1.504300e+00	6.433872e-01
69.4          	bottomWall	5.199886e-01	1.639452e+00	6.432516e-01
69.4          	topWall	5.181067e-01	1.675258e+00	6.432745e-01
69.5          	bottomWall	5.175659e-01	1.637243e+00	6.431538e-01
69.5          	topWall	5.188521e-01	1.573521e+00	6.433478e-01
69.6          	bottomWall	5.053125e-01	1.637427e+00	6.432400e-01
69.6          	topWall	5.183711e-01	1.561092e+00	6.431024e-01
69.7          	bottomWall	5.164786e-01	1.748572e+00	6.433618e-01
69.7          	topWall	5.194205e-01	1.533179e+00	6.431147e-01
69.8          	bottomWall	5.152747e-01	1.554441e+00	6.430204e-01
69.8          	topWall	3.582393e-01	1.740600e+00	6.433640e-01
69.9          	bottomWall	5.145836e-01	1.564171e+00	6.428953e-01
69.9          	topWall	5.206042e-01	1.537049e+00	6.433736e-01
70            	bottomWall	5.136787e-01	1.548396e+00	6.429435e-01
70            	topWall	5.204588e-01	1.642764e+00	6.432951e-01
70.1          	bottomWall	5.127499e-01	1.402374e+00	6.427185e-01
70.1          	topWall	5.203007e-01	1.566214e+00	6.433638e-01
70.2          	bottomWall	5.120610e-01	1.475945e+00	6.429340e-01
70.2          	topWall	5.210873e-01	1.554981e+00	6.434657e-01
70.3          	bottomWall	5.112040e-01	1.664131e+00	6.428150e-01
70.3          	topWall	5.202031e-01	1.670115e+00	6.434049e-01
70.4          	bottomWall	5.103018e-01	1.699351e+00	6.427317e-01
70.4          	topWall	5.207287e-01	1.406854e+00	6.432412e-01
70.5          	bottomWall	5.095595e-01	1.488087e+00	6.429993e-01
70.5          	topWall	5.203145e-01	1.630953e+00	6.432645e-01
70.6          	bottomWall	5.095810e-01	1.519397e+00	6.426357e-01
70.6          	topWall	5.212254e-01	1.538795e+00	6.434314e-01
70.7          	bottomWall	5.105087e-01	1.632467e+00	6.428446e-01
70.7          	topWall	5.188121e-01	1.688113e+00	6.433283e-01
70.8          	bottomWall	5.122867e-01	1.477853e+00	6.428029e-01
70.8          	topWall	5.174047e-01	1.587438e+00	6.434322e-01
70.9          	bottomWall	5.152809e-01	1.445870e+00	6.428449e-01
70.9          	topWall	5.210641e-01	1.529507e+00	6.434339e-01
71            	bottomWall	5.157358e-01	1.609515e+00	6.431595e-01
71            	topWall	5.251883e-01	1.529254e+00	6.432566e-01
71.1          	bottomWall	5.201304e-01	1.494500e+00	6.426334e-01
71.1          	topWall	5.279324e-01	1.576984e+00	6.436269e-01
71.2          	bottomWall	5.189272e-01	1.675169e+00	6.427972e-01
71.2          	topWall	5.308553e-01	1.509883e+00	6.435936e-01
71.3          	bottomWall	5.173657e-01	1.611214e+00	6.427715e-01
71.3          	topWall	5.289815e-01	1.468213e+00	6.436660e-01
71.4          	bottomWall	5.153846e-01	1.611531e+00	6.425639e-01
71.4          	topWall	5.265818e-01	1.642559e+00	6.437620e-01
71.5          	bottomWall	5.143974e-01	1.480447e+00	6.425384e-01
71.5          	topWall	5.248159e-01	1.596600e+00	6.439820e-01
71.6          	bottomWall	5.135433e-01	1.456832e+00	6.422461e-01
71.6          	topWall	5.240201e-01	1.442838e+00	6.442473e-01
71.7          	bottomWall	5.127112e-01	1.571305e+00	6.423057e-01
71.7          	topWall	5.225585e-01	1.514776e+00	6.439586e-01
71.8          	bottomWall	5.111113e-01	1.424983e+00	6.421144e-01
71.8          	topWall	5.211265e-01	1.451099e+00	6.443682e-01
71.9          	bottomWall	5.106652e-01	1.670261e+00	6.421935e-01
71.9          	topWall	5.201551e-01	1.715311e+00	6.443029e-01
72            	bottomWall	5.096486e-01	1.564475e+00	6.423254e-01
72            	topWall	5.174517e-01	1.539903e+00	6.443870e-01
72.1          	bottomWall	5.079173e-01	1.477156e+00	6.423808e-01
72.1          	topWall	5.169876e-01	1.571472e+00	6.444976e-01
72.2          	bottomWall	5.071090e-01	1.509307e+00	6.423466e-01
72.2          	topWall	5.157232e-01	1.576544e+00	6.445804e-01
72.3          	bottomWall	4.212037e-01	1.591507e+00	6.420330e-01
72.3          	topWall	5.164579e-01	1.504797e+00	6.447756e-01
72.4          	bottomWall	5.098699e-01	1.461620e+00	6.424991e-01
72.4          	topWall	5.152504e-01	1.786102e+00	6.444729e-01
72.5          	bottomWall	5.099605e-01	1.621488e+00	6.424716e-01
72.5          	topWall	5.126200e-01	1.503886e+00	6.446174e-01
72.6          	bottomWall	5.107051e-01	1.491082e+00	6.424043e-01
72.6          	topWall	5.120086e-01	1.555964e+00	6.444330e-01
72.7          	bottomWall	5.141215e-01	1.422586e+00	6.422038e-01
72.7          	topWall	5.097937e-01	1.723318e+00	6.444504e-01
72.8          	bottomWall	5.155391e-01	1.468245e+00	6.423723e-01
72.8          	topWall	5.127706e-01	1.462746e+00	6.440660e-01
72.9          	bottomWall	5.181363e-01	1.499431e+00	6.425527e-01
72.9          	topWall	5.120766e-01	1.488764e+00	6.443057e-01
73            	bottomWall	5.164334e-01	1.654305e+00	6.423634e-01
73            	topWall	5.098154e-01	1.499862e+00	6.440716e-01
73.1          	bottomWall	5.156074e-01	1.450201e+00	6.424908e-01
73.1          	topWall	5.071766e-01	1.536447e+00	6.441429e-01
73.2          	bottomWall	5.150822e-01	1.523209e+00	6.427355e-01
73.2          	topWall	5.093869e-01	1.520518e+00	6.439695e-01
73.3          	bottomWall	5.130485e-01	1.530508e+00	6.427860e-01
73.3          	topWall	5.100818e-01	1.545173e+00	6.439485e-01
73.4          	bottomWall	5.111782e-01	1.681027e+00	6.427914e-01
73.4          	topWall	5.083762e-01	1.572587e+00	6.440158e-01
73.5          	bottomWall	5.093094e-01	1.478324e+00	6.428288e-01
73.5          	topWall	5.102207e-01	1.531655e+00	6.439373e-01
73.6          	bottomWall	5.079167e-01	1.473285e+00	6.428941e-01
73.6          	topWall	5.102923e-01	1.489556e+00	6.440371e-01
73.7          	bottomWall	5.060296e-01	1.700442e+00	6.429571e-01
73.7          	topWall	5.093454e-01	1.627001e+00	6.438080e-01
73.8          	bottomWall	5.060587e-01	1.485785e+00	6.427581e-01
73.8          	topWall	4.153039e-01	1.591343e+00	6.440231e-01
73.9          	bottomWall	5.046619e-01	1.525285e+00	6.430428e-01
73.9          	topWall	5.107304e-01	1.520598e+00	6.440021e-01
74            	bottomWall	5.029283e-01	1.608012e+00	6.430527e-01
74            	topWall	5.092884e-01	1.755948e+00	6.441669e-01
74.1          	bottomWall	5.034065e-01	1.489128e+00	6.432150e-01
74.1          	topWall	5.067496e-01	1.542734e+00	6.439521e-01
74.2          	bottomWall	5.060320e-01	1.459077e+00	6.429951e-01
74.2          	topWall	5.052587e-01	1.448135e+00	6.438345e-01
74.3          	bottomWall	5.064320e-01	1.624435e+00	6.431703e-01
74.3          	topWall	5.043520e-01	1.469985e+00	6.439064e-01
74.4          	bottomWall	5.111062e-01	1.633558e+00	6.429689e-01
74.4          	topWall	5.037565e-01	1.470024e+00	6.438278e-01
74.5          	bottomWall	5.176614e-01	1.405691e+00	6.428844e-01
74.5          	topWall	5.029980e-01	1.421559e+00	6.438112e-01
74.6          	bottomWall	5.215139e-01	1.688570e+00	6.428707e-01
74.6          	topWall	5.028984e-01	1.643308e+00	6.439629e-01
74.7          	bottomWall	5.212052e-01	1.559506e+00	6.431365e-01
74.7          	topWall	5.023189e-01	1.634708e+00	6.436779e-01
74.8          	bottomWall	5.189516e-01	1.625791e+00	6.430087e-01
74.8          	topWall	5.052786e-01	1.848719e+00	6.437319e-01
74.9          	bottomWall	5.167689e-01	1.638861e+00	6.431218e-01
74.9          	topWall	5.048312e-01	1.462490e+00	6.437311e-01
75            	bottomWall	5.166440e-01	1.601200e+00	6.432400e-01
75            	topWall	5.044245e-01	1.462345e+00	6.437223e-01
75.1          	bottomWall	5.162727e-01	1.421353e+00	6.430760e-01
75.1          	topWall	5.034426e-01	1.403848e+00	6.438030e-01
75.2          	bottomWall	5.114784e-01	1.613942e+00	6.430453e-01
75.2          	topWall	3.478207e-01	1.520228e+00	6.434531e-01
75.3          	bottomWall	5.137595e-01	1.497853e+00	6.430464e-01
75.3          	topWall	5.028791e-01	1.647255e+00	6.436050e-01
75.4          	bottomWall	5.109434e-01	1.587444e+00	6.428988e-01
75.4          	topWall	5.039327e-01	1.724200e+00	6.437056e-01
75.5          	bottomWall	5.081809e-01	1.612895e+00	6.427989e-01
75.5          	topWall	5.053155e-01	1.655299e+00	6.433310e-01
75.6          	bottomWall	5.041828e-01	1.406888e+00	6.426898e-01
75.6          	topWall	5.058070e-01	1.558733e+00	6.434500e-01
75.7          	bottomWall	5.019897e-01	1.514080e+00	6.426908e-01
75.7          	topWall	5.058690e-01	1.537902e+00	6.432324e-01
75.8          	bottomWall	5.002854e-01	1.733850e+00	6.425950e-01
75.8          	topWall	5.178634e-01	1.668944e+00	6.430577e-01
75.9          	bottomWall	4.949454e-01	1.627989e+00	6.427060e-01
75.9          	topWall	5.187271e-01	1.711507e+00	6.431517e-01
76            	bottomWall	4.946516e-01	1.555541e+00	6.426160e-01
76            	topWall	5.175583e-01	1.439824e+00	6.430302e-01
76.1          	bottomWall	4.922657e-01	1.641851e+00	6.424691e-01
76.1          	topWall	5.175236e-01	1.569105e+00	6.433008e-01
76.2          	bottomWall	4.905124e-01	1.503177e+00	6.424273e-01
76.2          	topWall	5.166263e-01	1.650916e+00	6.433383e-01
76.3          	bottomWall	4.903443e-01	1.504051e+00	6.426868e-01
76.3          	topWall	5.157578e-01	1.593219e+00	6.432199e-01
76.4          	bottomWall	4.900966e-01	1.655997e+00	6.427250e-01
76.4          	topWall	5.188544e-01	1.549776e+00	6.432355e-01
76.5          	bottomWall	4.922720e-01	1.611290e+00	6.428659e-01
76.5          	topWall	5.199605e-01	1.446232e+00	6.433531e-01
76.6          	bottomWall	4.926392e-01	1.539648e+00	6.429775e-01
76.6          	topWall	5.180914e-01	1.551323e+00	6.434011e-01
76.7          	bottomWall	4.936563e-01	1.598301e+00	6.428051e-01
76.7          	topWall	5.196086e-01	1.774414e+00	6.436092e-01
76.8          	bottomWall	4.943872e-01	1.708087e+00	6.429151e-01
76.8          	topWall	5.194328e-01	1.582638e+00	6.433899e-01
76.9          	bottomWall	4.963725e-01	1.542843e+00	6.431120e-01
76.9          	topWall	5.202762e-01	1.689786e+00	6.433923e-01
77            	bottomWall	4.984043e-01	1.496884e+00	6.429880e-01
77            	topWall	5.214772e-01	1.674030e+00	6.434858e-01
77.1          	bottomWall	4.983878e-01	1.548665e+00	6.433631e-01
77.1          	topWall	2.424464e-01	1.727608e+00	6.436275e-01
77.2          	bottomWall	4.997041e-01	1.733672e+00	6.434785e-01
77.2          	topWall	5.206592e-01	1.747870e+00	6.436600e-01
77.3          	bottomWall	5.035204e-01	1.714712e+00	6.437623e-01
77.3          	topWall	5.221204e-01	1.563334e+00	6.438385e-01
77.4          	bottomWall	4.937636e-01	1.642827e+00	6.439293e-01
77.4          	topWall	5.227342e-01	1.471282e+00	6.438413e-01
77.5          	bottomWall	4.790246e-01	1.678360e+00	6.439966e-01
77.5          	topWall	5.239147e-01	1.535248e+00	6.440384e-01
77.6          	bottomWall	4.819718e-01	1.533898e+00	6.441889e-01
77.6          	topWall	4.101328e-01	1.765535e+00	6.439227e-01
77.7          	bottomWall	4.697068e-01	1.416417e+00	6.444092e-01
77.7          	topWall	5.212022e-01	1.510400e+00	6.441443e-01
77.8          	bottomWall	4.693573e-01	1.644870e+00	6.447987e-01
77.8          	topWall	5.217567e-01	1.527486e+00	6.441074e-01
77.9          	bottomWall	4.494550e-01	1.513668e+00	6.451306e-01
77.9          	topWall	5.206454e-01	1.639077e+00	6.442900e-01
78            	bottomWall	4.243770e-01	1.545504e+00	6.458030e-01
78            	topWall	5.232125e-01	1.456029e+00	6.441684e-01
78.1          	bottomWall	3.610072e-01	1.657031e+00	6.466017e-01
78.1          	topWall	5.232503e-01	1.595843e+00	6.440776e-01
78.2          	bottomWall	3.619043e-01	1.483169e+00	6.474518e-01
78.2          	topWall	5.203060e-01	1.483043e+00	6.442471e-01
78.3          	bottomWall	3.436842e-01	1.566703e+00	6.488799e-01
78.3          	topWall	5.192310e-01	1.444566e+00	6.441138e-01
78.4          	bottomWall	2.019654e-01	1.587156e+00	6.510048e-01
78.4          	topWall	5.159708e-01	1.548172e+00	6.440132e-01
78.5          	bottomWall	2.663537e-01	1.913870e+00	6.542613e-01
78.5          	topWall	5.118303e-01	1.522971e+00	6.438211e-01
78.6          	bottomWall	2.128790e-01	1.848721e+00	6.580527e-01
78.6          	topWall	5.047295e-01	1.489629e+00	6.434124e-01
78.7          	bottomWall	3.117280e-01	2.095716e+00	6.591249e-01
78.7          	topWall	4.994561e-01	1.554451e+00	6.428592e-01
78.8          	bottomWall	2.954526e-01	2.186472e+00	6.594905e-01
78.8          	topWall	4.953665e-01	1.470664e+00	6.424759e-01
78.9          	bottomWall	1.922602e-01	2.136040e+00	6.593763e-01
78.9          	topWall	4.889555e-01	1.641828e+00	6.416408e-01
79            	bottomWall	3.969202e-01	2.227780e+00	6.578041e-01
79            	topWall	4.828953e-01	1.508184e+00	6.411348e-01
79.1          	bottomWall	4.804843e-01	1.685054e+00	6.553553e-01
79.1          	topWall	4.790522e-01	1.661564e+00	6.408866e-01
79.2          	bottomWall	4.769767e-01	1.835752e+00	6.532440e-01
79.2          	topWall	4.699307e-01	1.655374e+00	6.406086e-01
79.3          	bottomWall	4.649234e-01	1.658583e+00	6.508396e-01
79.3          	topWall	4.658880e-01	1.608890e+00	6.404908e-01
79.4          	bottomWall	4.855893e-01	1.730629e+00	6.490609e-01
79.4          	topWall	4.574355e-01	1.507589e+00	6.406558e-01
79.5          	bottomWall	4.853169e-01	1.542099e+00	6.476216e-01
79.5          	topWall	4.541541e-01	1.536341e+00	6.408115e-01
79.6          	bottomWall	4.880839e-01	1.521496e+00	6.466109e-01
79.6          	topWall	4.614841e-01	1.498972e+00	6.409218e-01
79.7          	bottomWall	4.925252e-01	1.515276e+00	6.459514e-01
79.7          	topWall	4.755379e-01	1.578796e+00	6.413153e-01
79.8          	bottomWall	5.024301e-01	1.488572e+00	6.457627e-01
79.8          	topWall	4.851220e-01	1.499984e+00	6.415633e-01
79.9          	bottomWall	5.122236e-01	1.627055e+00	6.454542e-01
79.9          	topWall	4.909959e-01	1.515278e+00	6.420496e-01
80            	bottomWall	5.133459e-01	1.461856e+00	6.450600e-01
80            	topWall	4.972556e-01	1.535919e+00	6.419710e-01
80.1          	bottomWall	5.120080e-01	1.532388e+00	6.451776e-01
80.1          	topWall	4.985387e-01	1.551701e+00	6.421843e-01
80.2          	bottomWall	5.089711e-01	1.513894e+00	6.449994e-01
80.2          	topWall	5.018002e-01	1.483133e+00	6.424588e-01
80.3          	bottomWall	5.059386e-01	1.817201e+00	6.447997e-01
80.3          	topWall	5.034849e-01	1.429758e+00	6.427227e-01
80.4          	bottomWall	5.084432e-01	1.416775e+00	6.448102e-01
80.4          	topWall	5.048912e-01	1.473819e+00	6.425896e-01
80.5          	bottomWall	5.065476e-01	1.584493e+00	6.445496e-01
80.5          	topWall	5.074739e-01	1.626180e+00	6.427006e-01
80.6          	bottomWall	5.074644e-01	1.529867e+00	6.445568e-01
80.6          	topWall	5.075788e-01	1.573419e+00	6.428076e-01
80.7          	bottomWall	5.083399e-01	1.464535e+00	6.444056e-01
80.7          	topWall	5.059488e-01	1.610174e+00	6.427639e-01
80.8          	bottomWall	5.086148e-01	1.782648e+00	6.445540e-01
80.8          	topWall	5.051633e-01	1.445667e+00	6.430609e-01
80.9          	bottomWall	5.038624e-01	1.520120e+00	6.445517e-01
80.9          	topWall	5.055313e-01	1.469803e+00	6.430668e-01
81            	bottomWall	5.017738e-01	1.519494e+00	6.445452e-01
81            	topWall	5.035498e-01	1.405325e+00	6.431256e-01
81.1          	bottomWall	5.003220e-01	1.535658e+00	6.443548e-01
81.1          	topWall	4.999925e-01	1.602108e+00	6.432816e-01
81.2          	bottomWall	4.972865e-01	1.769104e+00	6.444040e-01
81.2          	topWall	4.906323e-01	1.700055e+00	6.430185e-01
81.3          	bottomWall	4.935000e-01	1.517088e+00	6.443698e-01
81.3          	topWall	4.857927e-01	1.743914e+00	6.428650e-01
81.4          	bottomWall	4.938558e-01	1.555996e+00	6.442933e-01
81.4          	topWall	4.858819e-01	1.491744e+00	6.428012e-01
81.5          	bottomWall	4.913436e-01	1.521188e+00	6.443641e-01
81.5          	topWall	4.862678e-01	1.524876e+00	6.427406e-01
81.6          	bottomWall	4.936819e-01	1.533678e+00	6.445752e-01
81.6          	topWall	4.914892e-01	1.496360e+00	6.427925e-01
81.7          	bottomWall	4.943642e-01	1.520373e+00	6.445807e-01
81.7          	topWall	4.936466e-01	1.545603e+00	6.427467e-01
81.8          	bottomWall	4.958535e-01	1.485721e+00	6.446652e-01
81.8          	topWall	4.990153e-01	1.474136e+00	6.427891e-01
81.9          	bottomWall	4.990661e-01	1.464978e+00	6.446879e-01
81.9          	topWall	5.014136e-01	1.825997e+00	6.426604e-01
82            	bottomWall	5.023930e-01	1.439473e+00	6.448742e-01
82            	topWall	5.063372e-01	1.459064e+00	6.429852e-01
