# y+ ()       
# Time        	patch         	min           	max           	average       
6.7           	topWall	5.058844e-01	1.641671e+00	6.450629e-01
6.8           	bottomWall	5.158518e-01	1.561565e+00	6.453699e-01
6.8           	topWall	5.043214e-01	1.683198e+00	6.449962e-01
6.9           	bottomWall	3.363539e-01	1.761570e+00	6.454987e-01
6.9           	topWall	5.036689e-01	1.679394e+00	6.449829e-01
7             	bottomWall	5.116635e-01	1.681542e+00	6.456302e-01
7             	topWall	5.062420e-01	1.662633e+00	6.451553e-01
7.1           	bottomWall	5.099453e-01	1.648008e+00	6.455391e-01
7.1           	topWall	5.077982e-01	1.856131e+00	6.451488e-01
7.2           	bottomWall	4.534515e-01	1.552502e+00	6.453727e-01
7.2           	topWall	5.107328e-01	1.570576e+00	6.450655e-01
7.3           	bottomWall	5.059165e-01	1.637109e+00	6.454769e-01
7.3           	topWall	5.095673e-01	1.518937e+00	6.446839e-01
7.4           	bottomWall	5.039956e-01	1.641557e+00	6.455806e-01
7.4           	topWall	5.080040e-01	1.963514e+00	6.446233e-01
7.5           	bottomWall	5.018621e-01	1.677952e+00	6.453924e-01
7.5           	topWall	5.069561e-01	1.671395e+00	6.445939e-01
7.6           	bottomWall	5.024889e-01	1.662908e+00	6.454421e-01
7.6           	topWall	5.046841e-01	1.635766e+00	6.442610e-01
7.7           	bottomWall	5.025849e-01	1.625411e+00	6.455171e-01
7.7           	topWall	5.026101e-01	1.525043e+00	6.442159e-01
7.8           	bottomWall	5.075525e-01	1.564385e+00	6.457198e-01
7.8           	topWall	5.035173e-01	1.967571e+00	6.441901e-01
7.9           	bottomWall	5.046735e-01	1.665592e+00	6.458227e-01
7.9           	topWall	5.055146e-01	1.753482e+00	6.441534e-01
8             	bottomWall	5.017309e-01	1.561261e+00	6.454341e-01
8             	topWall	5.085593e-01	1.756166e+00	6.440992e-01
8.1           	bottomWall	4.991566e-01	1.803340e+00	6.456496e-01
8.1           	topWall	5.130430e-01	1.598630e+00	6.441331e-01
8.2           	bottomWall	4.971610e-01	1.857592e+00	6.454978e-01
8.2           	topWall	5.167246e-01	1.791237e+00	6.441861e-01
8.3           	bottomWall	4.959517e-01	1.697145e+00	6.452694e-01
8.3           	topWall	5.168470e-01	1.726598e+00	6.443963e-01
8.4           	bottomWall	4.914528e-01	1.450508e+00	6.451465e-01
8.4           	topWall	5.149476e-01	1.668263e+00	6.442328e-01
8.5           	bottomWall	4.919673e-01	1.746220e+00	6.449983e-01
8.5           	topWall	5.137541e-01	1.676785e+00	6.443114e-01
8.6           	bottomWall	4.915968e-01	1.716512e+00	6.447874e-01
8.6           	topWall	5.128450e-01	1.697007e+00	6.441052e-01
8.7           	bottomWall	4.873376e-01	1.543192e+00	6.446463e-01
8.7           	topWall	5.110936e-01	1.624531e+00	6.442385e-01
8.8           	bottomWall	4.817808e-01	1.684562e+00	6.445036e-01
8.8           	topWall	5.105187e-01	1.737232e+00	6.441442e-01
8.9           	bottomWall	4.842097e-01	1.488755e+00	6.444951e-01
8.9           	topWall	5.092705e-01	1.511632e+00	6.442964e-01
9             	bottomWall	4.831351e-01	1.556070e+00	6.443896e-01
9             	topWall	5.088055e-01	1.974426e+00	6.443785e-01
9.1           	bottomWall	4.825756e-01	1.744990e+00	6.441718e-01
9.1           	topWall	5.088036e-01	2.027962e+00	6.444259e-01
9.2           	bottomWall	4.810212e-01	1.774247e+00	6.441754e-01
9.2           	topWall	5.112855e-01	1.886946e+00	6.446287e-01
9.3           	bottomWall	4.849297e-01	1.564561e+00	6.444592e-01
9.3           	topWall	5.134318e-01	1.895409e+00	6.447676e-01
9.4           	bottomWall	4.863221e-01	1.853487e+00	6.443333e-01
9.4           	topWall	5.096571e-01	1.862750e+00	6.447758e-01
9.5           	bottomWall	4.877089e-01	2.004568e+00	6.443702e-01
9.5           	topWall	5.053626e-01	1.634065e+00	6.451511e-01
9.6           	bottomWall	4.912172e-01	1.799973e+00	6.443114e-01
9.6           	topWall	5.017404e-01	1.706889e+00	6.449014e-01
9.7           	bottomWall	4.927621e-01	1.551711e+00	6.441399e-01
9.7           	topWall	4.990702e-01	1.853628e+00	6.450965e-01
9.8           	bottomWall	4.959270e-01	1.715841e+00	6.444734e-01
9.8           	topWall	4.952026e-01	1.664155e+00	6.452501e-01
9.9           	bottomWall	4.984219e-01	1.970348e+00	6.445469e-01
9.9           	topWall	4.906052e-01	1.604713e+00	6.452866e-01
10            	bottomWall	5.010092e-01	1.743711e+00	6.443642e-01
10            	topWall	4.868927e-01	1.802018e+00	6.453609e-01
10.1          	bottomWall	5.023197e-01	1.760094e+00	6.444485e-01
10.1          	topWall	4.830227e-01	1.735476e+00	6.454323e-01
10.2          	bottomWall	5.021442e-01	1.610812e+00	6.445159e-01
10.2          	topWall	4.776521e-01	2.039644e+00	6.455504e-01
10.3          	bottomWall	5.053106e-01	1.550947e+00	6.447310e-01
10.3          	topWall	4.755107e-01	1.809974e+00	6.452460e-01
10.4          	bottomWall	5.060650e-01	1.722990e+00	6.447315e-01
10.4          	topWall	4.736496e-01	1.757707e+00	6.450909e-01
10.5          	bottomWall	5.078046e-01	1.765770e+00	6.446370e-01
10.5          	topWall	4.756522e-01	1.537531e+00	6.451765e-01
10.6          	bottomWall	5.091298e-01	1.689539e+00	6.450473e-01
10.6          	topWall	4.799655e-01	1.647040e+00	6.448876e-01
10.7          	bottomWall	5.097719e-01	1.638149e+00	6.446617e-01
10.7          	topWall	4.826904e-01	1.645256e+00	6.450934e-01
10.8          	bottomWall	5.119575e-01	1.889636e+00	6.451307e-01
10.8          	topWall	4.912576e-01	1.698969e+00	6.449826e-01
10.9          	bottomWall	5.151809e-01	1.589925e+00	6.451274e-01
10.9          	topWall	4.958789e-01	1.814131e+00	6.450446e-01
11            	bottomWall	5.167655e-01	1.841004e+00	6.451724e-01
11            	topWall	5.043157e-01	1.671721e+00	6.450744e-01
11.1          	bottomWall	5.158487e-01	1.565381e+00	6.450534e-01
11.1          	topWall	5.062709e-01	1.624235e+00	6.450412e-01
11.2          	bottomWall	5.152987e-01	1.725364e+00	6.448490e-01
11.2          	topWall	5.090723e-01	1.706669e+00	6.450310e-01
11.3          	bottomWall	5.144943e-01	1.685245e+00	6.446386e-01
11.3          	topWall	5.090431e-01	1.574272e+00	6.450359e-01
11.4          	bottomWall	5.150376e-01	1.548186e+00	6.443913e-01
11.4          	topWall	5.079983e-01	1.839293e+00	6.452843e-01
11.5          	bottomWall	5.150631e-01	1.549850e+00	6.446714e-01
11.5          	topWall	5.085930e-01	1.691937e+00	6.453571e-01
11.6          	bottomWall	5.133142e-01	1.790763e+00	6.448643e-01
11.6          	topWall	5.078884e-01	1.620018e+00	6.450903e-01
11.7          	bottomWall	5.093912e-01	1.593462e+00	6.445856e-01
11.7          	topWall	5.094731e-01	1.745998e+00	6.452187e-01
11.8          	bottomWall	5.059408e-01	1.614632e+00	6.447114e-01
11.8          	topWall	5.082259e-01	1.902847e+00	6.452639e-01
11.9          	bottomWall	5.031810e-01	1.543776e+00	6.446657e-01
11.9          	topWall	5.073340e-01	1.940678e+00	6.450307e-01
12            	bottomWall	5.016257e-01	1.609035e+00	6.444419e-01
12            	topWall	5.067392e-01	1.613352e+00	6.455601e-01
12.1          	bottomWall	5.018140e-01	1.691493e+00	6.443207e-01
12.1          	topWall	5.056311e-01	1.864832e+00	6.453801e-01
12.2          	bottomWall	5.008797e-01	1.562379e+00	6.441846e-01
12.2          	topWall	5.057313e-01	1.529351e+00	6.453299e-01
12.3          	bottomWall	4.981260e-01	1.546100e+00	6.439453e-01
12.3          	topWall	5.048592e-01	1.666617e+00	6.454910e-01
12.4          	bottomWall	4.985960e-01	1.825226e+00	6.438400e-01
12.4          	topWall	5.046772e-01	1.509531e+00	6.454346e-01
12.5          	bottomWall	4.992600e-01	2.569187e+00	6.439076e-01
12.5          	topWall	5.037921e-01	1.713932e+00	6.455013e-01
12.6          	bottomWall	5.002050e-01	1.775583e+00	6.439063e-01
12.6          	topWall	5.034738e-01	1.676033e+00	6.454333e-01
12.7          	bottomWall	5.017336e-01	2.269391e+00	6.436983e-01
12.7          	topWall	5.022702e-01	1.555766e+00	6.453839e-01
12.8          	bottomWall	5.029431e-01	1.708702e+00	6.437319e-01
12.8          	topWall	5.015051e-01	1.823561e+00	6.454377e-01
12.9          	bottomWall	5.045588e-01	1.592355e+00	6.436802e-01
12.9          	topWall	5.012244e-01	1.802744e+00	6.456392e-01
13            	bottomWall	5.090577e-01	2.129570e+00	6.436309e-01
13            	topWall	4.996482e-01	1.515310e+00	6.458188e-01
13.1          	bottomWall	5.121640e-01	1.662404e+00	6.436475e-01
13.1          	topWall	4.999597e-01	1.541676e+00	6.459807e-01
